med_id,med_name,recommended_dosage,side_effects
MEDA0001,Paracetamol,500mg every 6 hours,"Nausea, rash"
MEDA0002,Ibuprofen,400mg every 8 hours,"Stomach pain, dizziness"
MEDA0003,Amoxicillin,250mg three times daily,"Diarrhea, allergic reactions"
MEDA0004,Cetirizine,10mg once daily,"Drowsiness, dry mouth"
MEDA0005,Metformin,500mg twice daily,"Nausea, bloating"
MEDA0006,Atorvastatin,10mg once daily,"Muscle pain, headache"
MEDA0007,Omeprazole,20mg once daily,"Constipation, gas"
MEDA0008,Lisinopril,10mg once daily,"Cough, dizziness"
MEDA0009,Levothyroxine,50mcg once daily,"Palpitations, weight loss"
MEDA0010,Aspirin,75mg once daily,"Bleeding, stomach ulcers"
MEDA0011,Sertraline,50mg once daily,"Insomnia, anxiety"
MEDA0012,Losartan,50mg once daily,"Dizziness, fatigue"
MEDA0013,Amlodipine,5mg once daily,"Swelling, headache"
MEDA0014,Metoprolol,25mg twice daily,"Fatigue, cold hands"
MEDA0015,Gabapentin,300mg three times daily,"Drowsiness, dizziness"
MEDA0016,Escitalopram,10mg once daily,"Nausea, sleep changes"
MEDA0017,Duloxetine,30mg once daily,"Dry mouth, insomnia"
MEDA0018,Pantoprazole,40mg once daily,"Headache, diarrhea"
MEDA0019,Montelukast,10mg once daily,"Headache, flu-like symptoms"
MEDA0020,Fluoxetine,20mg once daily,"Anxiety, decreased appetite"
MEDA0021,Venlafaxine,75mg once daily,"Sweating, anxiety"
MEDA0022,Tramadol,50mg every 6 hours,"Dizziness, drowsiness"
MEDA0023,Pregabalin,75mg twice daily,"Weight gain, blurred vision"
MEDA0024,Citalopram,20mg once daily,"Sweating, tremors"
MEDA0025,Warfarin,5mg once daily,"Bleeding, bruising"
MEDA0026,Ramipril,5mg once daily,"Dizziness, cough"
MEDA0027,Simvastatin,20mg once daily,"Muscle pain, weakness"
MEDA0028,Fluticasone,50mcg twice daily,"Nose bleeding, headache"
MEDA0029,Ranitidine,150mg twice daily,"Headache, constipation"
MEDA0030,Carvedilol,6.25mg twice daily,"Dizziness, fatigue"
MEDA0031,Furosemide,40mg once daily,"Dehydration, dizziness"
MEDA0032,Valsartan,80mg once daily,"Dizziness, headache"
MEDA0033,Rosuvastatin,10mg once daily,"Muscle aches, weakness"
MEDA0034,Clonazepam,0.5mg twice daily,"Drowsiness, coordination problems"
MEDA0035,Alprazolam,0.25mg three times daily,"Drowsiness, memory problems"
MEDA0036,Hydrochlorothiazide,25mg once daily,"Dehydration, electrolyte imbalance"
MEDA0037,Diazepam,5mg three times daily,"Drowsiness, confusion"
MEDA0038,Prednisone,5mg once daily,"Weight gain, mood changes"
MEDA0039,Clarithromycin,500mg twice daily,"Nausea, taste changes"
MEDA0040,Azithromycin,500mg once daily,"Diarrhea, stomach pain"
MEDA0041,Doxycycline,100mg twice daily,"Sun sensitivity, nausea"
MEDA0042,Metronidazole,400mg three times daily,"Metallic taste, nausea"
MEDA0043,Bisoprolol,5mg once daily,"Fatigue, cold extremities"
MEDA0044,Clopidogrel,75mg once daily,"Bruising, bleeding"
MEDA0045,Diclofenac,50mg three times daily,"Stomach pain, heartburn"
MEDA0046,Domperidone,10mg three times daily,"Dry mouth, headache"
MEDA0047,Fluconazole,150mg once weekly,"Nausea, headache"
MEDA0048,Hydroxyzine,25mg three times daily,"Drowsiness, dry mouth"
MEDA0049,Isosorbide,20mg twice daily,"Headache, dizziness"
MEDA0050,Meloxicam,7.5mg once daily,"Stomach pain, dizziness"
MEDA0051,Naproxen,500mg twice daily,"Heartburn, drowsiness"
MEDA0052,Oxycodone,5mg every 6 hours,"Constipation, drowsiness"
MEDA0053,Propranolol,40mg twice daily,"Fatigue, cold hands and feet"
MEDA0054,Quetiapine,25mg at bedtime,"Weight gain, drowsiness"
MEDA0055,Rizatriptan,10mg as needed,"Dizziness, fatigue"
MEDA0056,Spironolactone,25mg once daily,"High potassium, breast tenderness"
MEDA0057,Tamsulosin,0.4mg once daily,"Dizziness, retrograde ejaculation"
MEDA0058,Temazepam,15mg at bedtime,"Drowsiness, confusion"
MEDA0059,Verapamil,80mg three times daily,"Constipation, headache"
MEDA0060,Zolpidem,10mg at bedtime,"Drowsiness, dizziness"
MEDA0061,Acarbose,50mg three times daily,"Flatulence, stomach pain"
MEDA0062,Baclofen,10mg three times daily,"Drowsiness, muscle weakness"
MEDA0063,Budesonide,200mcg twice daily,"Throat irritation, cough"
MEDA0064,Candesartan,8mg once daily,"Dizziness, back pain"
MEDA0065,Dapagliflozin,10mg once daily,"Urinary tract infections, thirst"
MEDA0066,Empagliflozin,25mg once daily,"Dehydration, yeast infections"
MEDA0067,Famotidine,20mg twice daily,"Headache, constipation"
MEDA0068,Glimepiride,2mg once daily,"Low blood sugar, dizziness"
MEDA0069,Hydralazine,25mg twice daily,"Headache, rapid heartbeat"
MEDA0070,Irbesartan,150mg once daily,"Dizziness, muscle pain"
MEDA0071,Ketotifen,1mg twice daily,"Drowsiness, weight gain"
MEDA0072,Levetiracetam,500mg twice daily,"Drowsiness, behavior changes"
MEDA0073,Mirtazapine,15mg at bedtime,"Weight gain, dry mouth"
MEDA0074,Nebivolol,5mg once daily,"Fatigue, headache"
MEDA0075,Olmesartan,20mg once daily,"Dizziness, joint pain"
MEDA0076,Pioglitazone,30mg once daily,"Weight gain, fluid retention"
MEDA0077,Quinapril,10mg once daily,"Cough, dizziness"
MEDA0078,Repaglinide,1mg before meals,"Low blood sugar, headache"
MEDA0079,Sitagliptin,100mg once daily,"Upper respiratory infection, headache"
MEDA0080,Telmisartan,40mg once daily,"Back pain, dizziness"
MEDA0081,Ursodeoxycholic acid,300mg twice daily,"Diarrhea, stomach pain"
MEDA0082,Vildagliptin,50mg twice daily,"Tremors, joint pain"
MEDA0083,Xylometazoline,0.1% two sprays daily,"Nasal irritation, rebound congestion"
MEDA0084,Zinc sulfate,220mg once daily,"Nausea, stomach upset"
MEDA0085,Acyclovir,400mg three times daily,"Headache, nausea"
MEDA0086,Betahistine,16mg three times daily,"Headache, stomach upset"
MEDA0087,Cilostazol,100mg twice daily,"Headache, diarrhea"
MEDA0088,Dutasteride,0.5mg once daily,"Sexual side effects, breast tenderness"
MEDA0089,Ezetimibe,10mg once daily,"Diarrhea, joint pain"
MEDA0090,Felodipine,5mg once daily,"Swelling, headache"
MEDA0091,Gliclazide,80mg twice daily,"Low blood sugar, weight gain"
MEDA0092,Hydroxychloroquine,200mg twice daily,"Eye problems, skin rash"
MEDA0093,Indapamide,2.5mg once daily,"Dizziness, electrolyte imbalance"
MEDA0094,Lactulose,15ml twice daily,"Bloating, cramping"
MEDA0095,Memantine,10mg once daily,"Dizziness, headache"
MEDA0096,Nifedipine,30mg once daily,"Headache, flushing"
MEDA0097,Oxcarbazepine,300mg twice daily,"Dizziness, double vision"
MEDA0098,Perindopril,4mg once daily,"Cough, dizziness"
MEDA0099,Risedronate,35mg once weekly,"Heartburn, joint pain"
MEDA0100,Solifenacin,5mg once daily,"Dry mouth, constipation"
